class,title,wiki
0,Pseudomyxoma Peritonei,pseudomyxoma peritonei (pmp) clinical condition caused cancerous cells (mucinous adenocarcinoma) produce abundant mucin gelatinous ascites.[1] the tumors cause fibrosis tissues impede digestion organ function left untreated tumors mucin produce fill abdominal cavity. this result compression organs destroy function colon small intestine stomach organs. prognosis treatment many cases optimistic[2] disease lethal untreated death cachexia bowel obstruction types complications.
0,Inferior vena cava syndrome,inferior vena cava syndrome (ivcs) result obstruction inferior vena cava. it caused invasion compression pathological process thrombosis vein . it also occur pregnancy.pregnancy lead problems blood return due high venous pressure lower limbs failure blood return heart decreased cardiac output due obstructions inferior vena cava sudden rise venous pressure lead placental separation decrease renal function. all issues arise lying supine position late pregnancy cause compression inferior vena cava.[1]symptoms late pregnancy inferior vena cava syndrome consist intense pain right hand side muscle twitching drop blood pressure fluid retention.[2]
0,Claude's syndrome,claude'syndrome form brainstem stroke syndrome characterized presence ipsilateral oculomotor nerve palsy contralateral hemiparesis contralateral ataxia contralateral hemiplegia lower face tongue shoulder. claude'syndrome affects occulomotor nervered nucleus brachium conjunctivum[1]
0,Marchiafava-Bignami disease,marchiafavabignami disease progressive neurological disease alcoholism characterized corpus callosum demyelination necrosis subsequent atrophy.
0,Cotard's syndrome,the cotard delusion (also cotard'syndrome walking corpse syndrome) rare mental illness afflicted person holds delusion dead either figuratively literally; yet said delusion negation symptom essential syndrome proper.[1] statistical analysis hundred-patient cohort indicates denial self-existence symptom present 69 percent cases cotard'syndrome; yet paradoxically 55 percent patients might present delusions immortality.[2]
0,Desquamative Interstitial Pneumonia,desquamative interstitial pneumonia form idiopathic interstitial pneumonia featuring elevated levels macrophages.
0,Dialysis-related amyloidosis,haemodialysis-associated amyloidosis form amyloidosis associated chronic kidney failure.[1]
0,ACADL,acyl-coa dehydrogenase long chain protein humans encoded acadl gene.[1]
0,ACADM,1egc 1egd 1ege 1t9g 2a1t 4p13
0,ACADS,2vig
0,Dientamoebiasis,dientamoebiasis medical condition caused infection dientamoeba fragilis single-cell parasite infects lower gastrointestinal tract humans. it important cause traveler'diarrhea chronic abdominal pain chronic fatigue[citation needed] failure thrive children.
0,endocardial fibroelastosis,endocardial fibroelastosis (efe) rare heart disorder usually occurring children two years old younger.[1] it may also considered reaction stress necessarily specific disease.[2]
0,Kayser-Fleischer rings,kayserfleischer rings (kf rings) dark rings appear encircle iris eye. they due copper deposition part cornea (descemet'membrane) result particular liver diseases.[1] they named dr. bernhard kayser dr. bruno fleischer german doctors first described 1902 1903.[2][3][4] initially thought due accumulation silver first demonstrated contain copper 1934.[5]
0,Hereditary sclerosing poikiloderma,hereditary sclerosing poikiloderma autosomal dominant conditions skin changes consisting generalized poikiloderma appearing childhood.[1]:576
0,angiomatosis,angiomatosis non-neoplastic condition[1] presenting little knots capillaries various organs. it consists many angiomas.[2] it associated von hippel-lindau disease rare genetic multi system disorder characterized abnormal growth tumours body. symptoms may include headaches problems balance walking dizziness weakness limbs vision problems high blood pressure. prognosis depends size location tumour untreated angiomatosis may lead blindness / permanent brain damage. death may occur complications kidney brain.[3]
0,gastritis,gastritis inflammation lining stomach. it may occur short episode may long duration. the common symptom upper abdominal pain.[1] other symptoms include nausea vomiting bloating loss appetite heart burn.[1][2] others may symptoms. complications may include bleeding stomach ulcers stomach tumors.[1] when due autoimmune problems low red blood cells due enough vitamin b12 may occur condition known pernicious anemia.[3]
0,Mallory Weiss syndrome,malloryweiss syndrome gastro-esophageal laceration syndrome refers bleeding laceration mucosa junction stomach esophagus. this usually caused severe vomiting alcoholism bulemia caused conditions causes violent vomiting retching food poisoning. the syndrome presents painful hematemesis. the laceration sometimes referred mallory-weiss tear.
0,angiostrongyliasis,angiostrongyliasis infection nematode angiostrongylus genus kidney alimentary tract roundworms. for example infection angiostrongylus cantonensis occur consuming raw giant african land snails great grey slugs mollusks.
0,Chalicosis,chalicosis (greek __ gravel) sometimes called flint disease form pneumoconiosis affecting lungs bronchioles found chiefly among stonecutters.
0,HISTIOCYTOSIS,"in medicine histiocytosis refers excessive number histiocytes[1] (tissue macrophages) typically used refer group rare diseases share characteristic. occasionally confusingly term ""histiocytosis"" sometimes used refer individual diseases."
0,Bowenoid Papulosis,bowenoid papulosis cutaneous condition characterized presence pigmented verrucous papules body penis.[1]:730[2]:408 they associated human papillomavirus causative agent genital warts.[3] the lesions typical dysplastic histology generally considered benign although small percentage develop malignant characteristics.
0,Sialadenitis,sialadenitis (sialoadenitis) inflammation salivary gland. it may subdivided temporally acute chronic recurrent forms.
0,batrachophobia,"fear frogs toads known specific phobia known simply frog phobia ranidaphobia (ranidae widespread family frogs) superstition common folkways many cultures. psychiatric speciality literature uses simple term ""fear frogs"" rather specialized term.[1] the term batrachophobia also recorded 1953 psychiatric dictionary.[2]"
0,Congenital nephrotic syndrome,congenital nephrotic syndrome inherited disorder characterized protein urine swelling body.
0,Congenital erosive and vesicular dermatosis,congenital erosive vesicular dermatosis cutaneous condition characterized generalized erosions vesicles crusting scalded skin-like erythematous areas affecting 75% body surface area.[1]
0,congenital tuberculosis,breastfeeding difficulties refers problems arise breastfeeding feeding infant young child milk woman'breasts. although babies sucking reflex enables suck swallow milk although human breast milk usually best source nourishment human infants[1] circumstances breastfeeding problematic even rare instances contraindicated.
0,lipomatosis,lipomatosis believed autosomal dominant condition multiple lipomas present body. many discrete encapsulated lipomas form trunk extremities relatively head shoulders.[1] in 1993 genetic defect within lipomas localized chromosome 12q15 hmgic gene encodes high-mobility-group protein isoform i-c.[2] this one commonly found mutations solitary lipomatous tumors lipomas often multiple mutations. reciprocal translocations involving chromosomes 12q13 12q14 also observed within.[3][4][5]
0,Ascher's syndrome,ascher'syndrome laffer-ascher syndrome rare disorder first described 1920.[1] it characterized repeated episodes lip eyelid edema occasionally euthyroid goiter. the syndrome generally occurs within first 20 years life.[2] about 100 cases described 1998.[3]
0,Nonsyndromic deafness,nonsyndromic deafness hearing loss associated signs symptoms. in contrast syndromic deafness involves hearing loss occurs abnormalities parts body.
0,Johnson-Munson syndrome,aphalangy hemivertebrae urogenital-intestinal dysgenesis extremely rare syndrome described three siblings.[1] it associates hypoplasia aplasia phalanges hands feet hemivertebrae various urogenital /intestinal abnormalities. intrafamilial variability important one sister lethal abnormalities (potter sequence pulmonary hypoplasia) affected brother good health normal psychomotor development 6 months age. prognosis seems depend mainly severity visceral malformations. etiology inheritance remain unknown.[2][3]
0,Chronic periodontitis,chronic periodontitis common disease oral cavity consisting chronic inflammation periodontal tissues caused accumulation profuse amounts dental plaque.
0,nevus comedonicus syndrome,nevus comedonicus syndrome cutaneous condition characterized nevus comedonicus associated cataracts scoliosis neurologic abnormalities.[1]:635[2]:776[3]:849
0,Wilson Turner syndrome,wilsonturner syndrome congenital condition characterized intellectual disability associated childhood-onset obesity.[1]
0,Menstrual synchronization,"menstrual synchrony also called mcclintock effect[2] alleged process whereby women begin living together close proximity experience menstrual cycle onsets (onset menstruation menses) becoming closer together time previously. ""for example distribution onsets seven female lifeguards scattered beginning summer 3 months spent together onset seven cycles fell within 4-day period.""[3]"
0,Exploding head syndrome,exploding head syndrome condition person hears loud noises experiences explosive feeling falling asleep waking .[1][2] in addition noise people report fear seeing flashes light.[2][3][4] it classified parasomnia 2005 international classification sleep disorders[5] unusual type auditory hallucination occurs people fully awake.[6] neither cause mechanism exploding head syndrome known.[6] as 2015 sufficient studies conducted make clear statements prevalence tends suffer ehs.[7]
0,pseudoaneurysm,a pseudoaneurysm also known false aneurysm hematoma forms result leaking hole artery. note hematoma forms outside arterial wall contained surrounding tissues. also must continue communicate artery considered pseudoaneurysm. this must distinguished true aneurysm localised dilatation artery including layers wall. a pseudoaneurysm also different arterial dissection separation layers arterial wall may associated later aneurysm formation. distinctively pseudoaneurysm hole arterial wall generally consequence vascular injury. by opposition true aneurysms dissections usually consequence arterial wall congenital acquired deficiency example means atherosclerosis.
0,prolidase deficiency,prolidase deficiency (pd) autosomal recessive disease extremely uncommon associated collagen metabolism[1] affects connective tissues. this rare condition affects assorted systems error enzyme affiliated creation collagen. collagen powerful protein observed bones tissues skin. collagen causes degradation iminodipeptides. iminodipeptides compounds break form amino acids. prolidase enzyme responsible breaking iminodipeptides. in condition defect causes lack prolidase. those affected pd eliminate large quantities iminodipeptides urine deficiency prolidase enzyme.[2] when function prolidase operates incorrectly results recessive connective tissue condition (pd).
0,aortic window,the aortic window normally radiolucent region aortic arch. it formed bifurcation trachea traversed left pulmonary artery. it visible left anterior oblique radiograph heart great vessels.
0,axial osteomalacia,axial osteomalacia rare osteosclerotic disorder characterized axial skeleton pain coarsening trabecular bone pattern radiographs axial appendicular skeleton.[1]
0,Progressive Osseous Heteroplasia,progressive osseous heteroplasia cutaneous condition characterized cutaneous subcutaneous ossification.[1]
0,Rombo syndrome,rombo syndrome rare genetic disorder characterized mainly atrophoderma vermiculatum face[1]:580 multiple milia telangiectases acral erythema[2] peripheral vasodilation cyanosis[3] propensity develop basal cell carcinomas.[2] the lesions become visible late childhood began ages 7 10 years pronounced face at time pronounced somewhat cyanotic redness lips hands evident well moderate follicular atrophy skin cheeks. in adulthood whitish-yellow milia-like papules telangiectatic vessels developed. the papules present particularly cheeks forehead gradually becoming conspicuous dominating clinical picture. trichoepitheliomas found 1 case. in adults eyelashes eyebrows either missing irregularly distributed defective maldirected growth. basal cell carcinomas frequent complication. the skin atrophy referred vermiculate atrophoderma. basal cell carcinomas may develop around age 35. histological observations early stage include irregularly distributed atrophic hair follicles milia dilated dermal vessels lack elastin elastin clumps. after light irradiation tendency increased repair activity observed epidermis dermal fibroblasts.[3] histologic sections showed dermis almost devoid elastin areas clumping elastic material areas. the disorder transmitted least 4 generations instances male--male transmission.[3]
0,secondary hypertension,secondary hypertension (less commonly inessential hypertension) type hypertension definition caused identifiable underlying secondary cause. it much less common type called essential hypertension affecting 5% hypertensive patients. it many different causes including endocrine diseases kidney diseases tumors. it also side effect many medications.
0,Chaetophobia,"chaetophobia fear hair type specific phobia.[citation needed][1] sufferers fear may associated human hair /animal hair. they fear people animals excess amount hair. they may also fear hair body. some fear detached loose hair mind attached hair. the term chaetophobia comes greek  - khait meaning ""loose flowing hair""[2] _ - phobos meaning ""fear"".[3])"
0,Allopurinol hypersensitivity syndrome,allopurinol hypersensitivity syndrome typically occurs persons preexisting kidney failure.[1]:119 weeks months allopurinol begun patient develops morbilliform eruption.[1]:119
0,triploid_syndrome,triploid syndrome extremely rare chromosomal disorder. individuals triploid syndrome three every chromosome .e. total sixty-nine rather normal forty-six chromosomes.
0,hellp syndrome,"hellp syndrome life-threatening obstetric complication usually considered variant complication pre-eclampsia.[1] both conditions usually occur later stages pregnancy sometimes childbirth. ""hellp"" abbreviation three main features syndrome:[2]"
0,Johanson Blizzard syndrome,johansonblizzard syndrome (jbs) rare sometimes fatal autosomal recessive multisystem congenital disorder featuring abnormal development pancreas nose scalp mental retardation hearing loss growth failure.[1] it sometimes described form ectodermal dysplasia.[2]
0,babinski_nageotte_syndrome,babinskinageotte syndrome sometimes called babinski syndrome alternating brainstem syndrome. it occurs damage dorsolateral posterior lateral medulla oblongata. hence also called alternating medulla oblongata syndrome.
0,Mouth mirror,a mouth mirror dentist'mirror instrument used dentistry. the head mirror usually round common sizes used no. 4  (18&#160;mm) no. 5 ( 20&#160;mm).[1] a no. 2 sometimes used smaller mirror needed working back teeth dental dam place. the mouth mirror wide range uses. three important functions allowing indirect vision dentist reflecting light onto desired surfaces retraction soft tissues. there exists 2 different norms thread compatible . the us norm taper thread mostly used usa canada spain south korea.[2]
0,momo syndrome,momo syndrome extremely rare genetic disorder belongs overgrowth syndromes diagnosed six cases around world occurs 1 100 million births. the name acronym four primary aspects disorder: macrosomia (excessive birth weight) obesity macrocephaly (excessive head size) ocular abnormalities. it unknown life-limiting condition. momo syndrome first diagnosed 1993[1] professor clia priszkulnik koiffmann brazilian researcher genetic clinical studies neurodevelopmental disorders.
0,Apraxia,apraxia motor disorder caused damage brain (specifically posterior parietal cortex) someone difficulty motor planning perform tasks movements asked provided request command understood /willing perform task. a person apraxia cannot move lips tongue right place say sounds correctly even though muscles weak message brain mouth disrupted. the nature brain damage determines severity.[1] apraxia acquired disorder motor planning caused incoordination sensory loss failure comprehend simple commands (tested asking person recognize correct movement series). it caused damage specific areas cerebrum. apraxia confused ataxia lack coordination movements; aphasia inability produce /comprehend language; abulia lack desire carry action; allochiria patients perceive stimuli one side body occurring . developmental coordination disorder developmental disorder motor planning.
0,eosinophilic fasciitis,"eosinophilic fasciitis /.snfilk f_iats/ also known ""shulman'syndrome""[1] form fasciitis inflammatory diseases affect fascia connective tissues surrounding muscles blood vessels nerves. unlike diseases category limited arms legs usually resolves although cases require corticosteroids cases associated aplastic anemia.[2]"
0,D-dimers,d-dimer (d dimer) fibrin degradation product (fdp) small protein fragment present blood blood clot degraded fibrinolysis. it named contains two crosslinked d fragments fibrin protein.[1]
0,Pelvic fracture,pelvic fracture disruption bony structure pelvis including hip bone sacrum coccyx. the common cause elderly fall significant fractures involve high-energy forces motor vehicle crashes cycling accidents fall significant height. diagnosis made basis history clinical features special investigations usually including x-ray ct. because pelvis cradles many internal organs pelvic fractures may produce significant internal bleeding invisible eye. emergency treatment consists advanced trauma life support management. after stabilisation pelvis may surgically reconstructed.
0,Familial isolated vitamin E deficiency,familial isolated vitamin e deficiency rare autosomal recessive[1] neurodegenerative disease. symptoms similar friedreich ataxia.
0,Emanuel syndrome,derivative 22 syndrome der(22) rare disorder associated multiple congenital anomalies including profound mental retardation preauricular skin tags pits conotruncal heart defects. it occur offspring carriers constitutional chromosomal translocation (11;22)(q23;q11) owing 3:1 meiotic malsegregation event resulting partial trisomy chromosomes 11 22. an unbalanced translocation chromosomes 11 &amp; 22 described emanuel syndrome. it characterized 1980.[1]
0,acalvaria,acalvaria rare malformation consisting absence calvarial bones dura mater associated muscles presence normal skull base normal facial bones. the central nervous system usually unaffected. the presumed pathogenesis acalvaria faulty migration membranous neurocranium normal placement embryonic ectoderm resulting absence calvaria intact layer skin brain parenchyma. in words instead skull cap protecting brain skin covering .[1] the size area missing skull cap vary case case. in extreme cases entire top part cranium dome-shaped may absent.[2]
0,Myokymia,"myokymia (greek -ms - muscle + km -kmia - ""something swollen"" -kmos - ""wave"") involuntary spontaneous localised quivering muscles bundles within muscle insufficient move joint. one type superior oblique myokymia."
0,Xerosis,"xeroderma xerodermia (also known xerosis cutis[1]) derived greek words ""dry skin"" condition involving integumentary system cases safely treated emollients moisturizers. xeroderma occurs commonly scalp lower legs arms hands knuckles sides abdomen thighs. symptoms associated xeroderma scaling (visible peeling outer skin layer) itching skin cracking.[2]"
0,Global aphasia,global aphasia type language disorder caused damage brain. it nonfluent aphasia severe impairment expressive receptive skills.[1] patients global aphasia unable say understand words unable read write.[2]
0,Collagenous colitis,collagenous colitis inflammatory bowel disease affecting colon specifically peak incidence 5th decade life affecting women men. its clinical presentation involves watery diarrhea usually absence rectal bleeding. it often classified umbrella entity microscopic colitis along related condition lymphocytic colitis.
0,Launois-Bensaude adenolipomatosis,"raoul bensaude (january 26 1866  october 25 1938) french physician born azores. he became famous gastroenterologist pioneered proctology france. with pierre-emile launois (1856-1914) provided detailed description multiple symmetrical lipomatosis also referred ""launois-bensaude syndrome"".[1]"
0,Amyoplasia,amyoplasia condition characterized generalized lack newborn muscular development growth contracture deformity joints. it common form arthrogryposis.[1]
0,Majocchi's disease,"majocchi'disease (also known ""purpura annularis telangiectodes""[1] ""purpura annularis telangiectodes majocchi""[2]) skin condition characterized bluish-red 1- 3-cm annular patches composed dark red telangiectases petechiae.[1]:829"
0,Hidrocystoma,hidrocystoma (also known cystadenoma[1] moll'gland cyst[1] sudoriferous cyst[1]) adenoma sweat glands.[2]:787
0,Adhesive Capsulitis,adhesive capsulitis (also known frozen shoulder) painful disabling disorder unclear cause shoulder capsule connective tissue surrounding glenohumeral joint shoulder becomes inflamed stiff greatly restricting motion causing chronic pain. pain usually constant worse night cold weather. certain movements bumps provoke episodes tremendous pain cramping. the condition thought caused injury trauma area may autoimmune component.
0,Rectal Prolapse,used unqualified term rectal prolapse often used synonymously complete rectal prolapse (external rectal prolapse) rectal walls prolapsed degree protrude anus visible outside body.[1] however researchers agree 3 5 different types rectal prolapse depending prolapsed section visible externally full partial thickness rectal wall involved.[2][3]
0,Heerfordt syndrome,heerfordt'syndrome also referred uveoparotid fever[1] heerfordtmylius syndrome heerfordtwaldenstr_m syndrome waldenstr_ms uveoparotitis[2] rare manifestation sarcoidosis. the symptoms include inflammation eye (uveitis) swelling parotid gland chronic fever cases palsy facial nerves.[1]
0,hyperhomocysteinemia,hyperhomocysteinemia hyperhomocysteinaemia medical condition characterized abnormally high level homocysteine blood conventionally described 15&#160;mol/l.[1]
0,Atransferrinemia,atransferrinemia also called familial hypotransferrinemia[1] autosomal recessive[2] metabolic disorder absence transferrin plasma protein transports iron blood.
0,septic shock,septic shock medical condition result severe infection sepsis though microbe may systemic localized particular site.[1] it cause multiple organ dysfunction syndrome (formerly known multiple organ failure) death.[1] its common victims children immunocompromised individuals elderly immune systems cannot deal infection effectively healthy adults. frequently patients suffering septic shock cared intensive care units. the mortality rate septic shock approximately 2550%.[1]
0,Porphobilinogen synthase deficiency,porphobilinogen synthase (ala dehydratase aminolevulinate dehydratase) synthesizes porphobilinogen asymmetric condensation two molecules aminolevulinic acid. all natural tetrapyrroles including hemes chlorophylls vitamin b12 share porphobilinogen common precursor.
0,Doose syndrome,myoclonic astatic epilepsy also known doose syndrome generalized idiopathic epilepsy. it characterized development myoclonic seizures /myoclonic astatic seizures.
0,AA amyloidosis,aa amyloidosis form amyloidosis disease characterized abnormal deposition fibers insoluble protein extracellular space various tissues organs. in aa amyloidosis deposited protein serum amyloid a protein (saa) acute-phase protein normally soluble whose plasma concentration highest inflammation.[1]
0,Adrenal adenoma,a adrenal adenoma benign tumor glandular type (adenoma) adrenal gland. while adrenal adenomas secrete hormones (nonfunctional often diagnosed incidentally incidentalomas) secrete cortisol (causing cushing'syndrome) aldosterone (causing conn'syndrome) androgens (causing hyperandrogenism).
0,dermoodontodysplasia,dermoodontodysplasia dental problems trichodysplasia nail skin problems.[1]
0,Lung Abscess,lung abscess type liquefactive necrosis lung tissue formation cavities (2&#160;cm)[1] containing necrotic debris fluid caused microbial infection.
0,Adenoid Cystic Carcinoma,adenoid cystic carcinoma (adcc) rare type cancer exist many different body sites. it often occurs areas head neck particular salivary glands; also reported breast lacrimal gland eye lung brain bartholin gland trachea paranasal sinuses. it sometimes referred adenocyst malignant cylindroma adenocystic adenoidcystic acc adcc.
0,hypochondrogenesis,hypochondrogenesis severe genetic disorder causing malformations bone growth. the condition characterized short body limbs abnormal bone formation spine pelvis.
0,Atrioventricular Block,an atrioventricular block (av block) type heart block conduction atria ventricles heart impaired. under normal conditions sinoatrial node (sa node) atria sets pace heart impulses travel ventricles. in av block message reach ventricles impaired along way. the ventricles heart pacing mechanisms maintain lowered heart rate absence sa stimulation.
0,Chronic traumatic encephalopathy,"chronic traumatic encephalopathy (cte) form encephalopathy progressive degenerative disease found people history repetitive brain trauma including symptomatic concussions well sub-concussive hits head cause symptoms. the disease previously called dementia pugilistica (dp) .e. ""punch-drunk"" initially found history boxing. in case blast injury single exposure blast subsequent violent movement head blast wind cause condition.[1] cte commonly found professional athletes participating american football association football ice hockey professional wrestling contact sports experienced repetitive brain trauma. in cases resulting characteristic degeneration brain tissue accumulation tau protein. individuals cte may show symptoms dementia memory loss aggression confusion depression generally appear years many decades trauma. baseline testing created assess potential cognitive impairment athletes contact sports test determine presence cte person alive yet available.[2]"
0,dentin dysplasia,"dentin dysplasia genetic disorder teeth commonly exhibiting autosomal dominant inheritance. it characterized presence normal enamel atypical dentin abnormal pulpal morphology. there two types. type i radicular type type ii coronal type. in radicular type roots teeth shorter normal pulp chamber may nearly gone. the pulp chamber sometimes described ""crescent shaped"" appearance. in coronal type pulps enlarged described ""thistle tube"" appearance permanent dentition. in deciduous dentition coronal dentin dysplasia bears resemblance dentinogenesis imperfecta type ii."
0,Fasciolopsiasis,fasciolopsiasis results infection trematode fasciolopsis buski[1] largest intestinal fluke humans (7.5&#160;cm length).[2][clarification needed]
0,21-hydroxylase deficiency,"congenital adrenal hyperplasia due 21-hydroxylase deficiency (21-oh cah) forms accounts 95% diagnosed cases congenital adrenal hyperplasia[1] ""cah"" contexts refers 21-hydroxylase deficiency. an overview types cah presented main article."
0,Zadik Barak Levin syndrome,zadikbaraklevin syndrome (zbls) congenital disorder humans. presenting conditions include primary hypothyroidism cleft palate hypodontia ectodermal dysplasia. it result embryonic defect mesodermal-ectodermal midline development.
0,map dot fingerprint dystrophy,epithelial basement membrane dystrophy (ebmd) also known map-dot-fingerprint dystrophy cogans'microcystic dystrophy disorder eye sometimes included group corneal dystrophies. it diverges formal definition corneal dystrophy cases non-familial. it also fluctuating course typical corneal dystrophy course progressive.
0,Hyperviscosity syndrome,hyperviscosity syndrome group symptoms triggered increase viscosity blood. symptoms high blood viscosity include spontaneous bleeding mucous membranes visual disturbances due retinopathy neurologic symptoms ranging headache vertigo seizures coma.
0,conductive hearing loss,conductive hearing loss occurs problem conducting sound waves anywhere along route outer ear tympanic membrane (eardrum) middle ear (ossicles). this type hearing loss may occur conjunction sensorineural hearing loss (mixed hearing loss) alone.
0,Hypoaldosteronism,in medicine (endocrinology) hypoaldosteronism refers decreased levels hormone aldosterone.
0,Pitt Hopkins syndrome,pitthopkins syndrome rare genetic disorder characterized developmental delay wide mouth distinctive facial features intermittent hyperventilation followed apnea.[1] it associated abnormality within chromosome 18: specifically caused insufficient expression tcf4 gene.[2]
0,cold intolerance,cold sensitivity cold intolerance unusual discomfort felt people cool environment.
0,Cortical dysplasia,focal cortical dysplasia (fcd) congenital abnormality brain development neurons area brain failed migrate proper formation utero. focal cortical dysplasia common cause intractable epilepsy children frequent cause epilepsy adults. there several subtypes fcd including type 1a 1b 2a 2b 3a 3b 3c distinct histopathological features [1]. all forms focal cortical dysplasia lead disorganization normal structure cerebral cortex.type 1 fcd exhibits subtle alterations cortical lamination. type 2a fcd exhibits neurons larger normal called cytomegalic dysmorphic neurons (cdn). fcd type 2b exhibits complete loss laminar structure presence cdn enlarged cells called balloon cells (bc) large elliptical cell body shape laterally displaced nucleus lack dendrites axons. the developmental origin balloon cells currently believed derived neuronal glial progenitor cells. balloon cells similar structure giant cells disorder tuberous sclerosis complex. recent studies demonstrated fcd types 2a 2b result somatic mutations genes encode components mammalian target rapamycin (mtor) pathway. causative gene mutations types 1 3 identified. the mtor pathway regulates number functions brain including establishment cell size cell motility differentiation. gene mutations associated fcd2a fcd 2b include mtor pi3kca akt3 depdc5 [2]. mutations genes lead enhanced mtor pathway signaling critical periods brain development. some recent evidence may suggest role utero infection certain viruses cytomegalovirus human papilloma virus [3].
0,Hypopigmentation disorder,depigmentation lightening skin loss pigment. depigmentation skin caused number local systemic conditions. the pigment loss partial (injury skin) complete (caused vitiligo). it temporary (tinea versicolor) permanent (albinism).[1]
0,Mitochondrial Myopathy,"mitochondrial myopathies types myopathies associated mitochondrial disease. on biopsy muscle tissue patients diseases usually demonstrate ""ragged red"" muscle fibers. these ragged-red fibers contain mild accumulations glycogen neutral lipids may show increased reactivity succinate dehydrogenase decreased reactivity cytochrome c oxidase. inheritance maternal (non-mendelian extranuclear). there several subcategories mitochondrial myopathies."
0,Fleischer's syndrome,fleischer'syndrome extremely rare congenital anomaly characterized displacement nipples occasional polymastia hypoplasia kidneys.
0,muscle-eye-brain disease,protein o-linked-mannose beta-12-n-acetylglucosaminyltransferase 1 enzyme humans encoded pomgnt1 gene.[1][2]
0,mesenteric ischemia,mesenteric ischemia also known mesenteric vascular disease medical condition injury small intestine occurs due enough blood supply.[1] it come suddenly known acute mesenteric ischemia gradually known chronic mesenteric ischemia.[2] acute disease often presents sudden severe pain.[2] symptoms may come slowly acute chronic disease.[1] signs symptoms chronic disease include abdominal pain eating unintentional weight loss vomiting afraid eating.[1][2]
0,oligoastrocytoma,"oligoastrocytomas subset brain tumors present appearance mixed glial cell origin astrocytoma oligodendroglioma.[1] these types glial cells become cancerous involved insulating regulating activity neuron cells central nervous system. often called ""mixed glioma"" 2.3% reported brain tumors diagnosed oligoastrocytoma.[citation needed] the median age diagnosis 42 years age.[citation needed] oligoastrocytomas like astrocytomas oligodendrogliomas divided low-grade anaplastic variant latter characterized high cellularity conspicuous cytologic atypism mitotic activity cases microvascular proliferation necrosis."
0,3 methylcrotonic aciduria,3-methylcrotonyl-coa carboxylase deficiency (3mcc deficiency) also known 3-methylcrotonylglycinuria bmcc deficiency inherited disorder body unable process certain proteins properly. people disorder inadequate levels enzyme helps break proteins containing amino acid leucine. this condition affects estimated 1 50000 individuals worldwide.
0,Anodontia,in dentistry anodontia also called anodontia vera rare genetic disorder characterized congenital absence primary permanent teeth. it associated group skin nerve syndromes called ectodermal dysplasias. anodontia usually part syndrome seldom occurs isolated entity.
0,radiculitis,"radicular pain radiculitis pain ""radiated"" along dermatome (sensory distribution) nerve due inflammation irritation nerve root (radiculopathy) connection spinal column. a common form radiculitis sciatica  radicular pain radiates along sciatic nerve lower spine lower back gluteal muscles back upper thigh calf foot often secondary nerve root irritation spinal disc herniation osteophytes lumbar region spine."
0,Amastia,amastia refers condition breast tissue nipple areola absent either congenitally iatrogenically. amastia girls treated augmentation mammoplasty.
0,Blastoma,"a blastoma type cancer common children caused malignancies precursor cells often called blasts. examples nephroblastoma medulloblastoma retinoblastoma. the suffix ""-blastoma"" used imply tumor primitive incompletely differentiated (precursor) cells e.g. chondroblastoma composed cells resembling precursor chondrocytes."
0,albright's hereditary osteodystrophy,albrights hereditary osteodystrophy consists constellation features including form osteodystrophy[1] occur pseudohypoparathyroidism type 1a.
0,Stenosing tenosynovitis,stenosing tenosynovitis (also known trigger finger trigger thumb) painful condition caused inflammation (tenosynovitis) progressive restriction superficial deep flexors fibrous tendon sheath adjacent a1 pulley metacarpal head. repetitive forceful compression tensile stress resistive flexion causes inflammation swelling microtrauma results thickening stenosis (commonly nodular formation) tendon distal pulley leading painful digital base limitation finger movements triggering snapping locking deformity progressively.
0,Myxoid liposarcoma,a myxoid liposarcoma malignant adipose tissue neoplasm[1] myxoid appearance histologically.
0,Stauffer's syndrome,stauffer syndrome constellation signs symptoms liver dysfunction arise due presence renal cell carcinoma rarely connection malignant neoplasms. it named dr. maurice stauffer gastroenterologist mayo clinic rochester mn. the hepatic abnormalities due tumor infiltration liver intrinsic liver disease; instead reflect presence paraneoplastic syndrome.[1]
0,Hemoglobinuria,in medicine hemoglobinuria haemoglobinuria condition oxygen transport protein hemoglobin found abnormally high concentrations urine. the condition often associated hemolytic anemia red blood cells (rbcs) destroyed thereby increasing levels free plasma hemoglobin. excess hemoglobin filtered kidneys excrete urine giving urine purple color.
0,Tolosa-Hunt syndrome,tolosahunt syndrome (ths) rare disorder characterized severe unilateral headaches extraocular palsies usually involving third fourth fifth sixth cranial nerves pain around sides back eye along weakness paralysis (ophthalmoplegia) certain eye muscles.[1]
0,Bertielliasis,bertielliasis infection bertiella - cestode tapeworm parasite primarily infects nonhuman primates rodents australian marsupials. occasionally human infections documented one two species: bertiella studeri bertiella mucronata. these infections present symptoms similar tapeworm cases frequently misdiagnosed. bertiella transmission oribatid mites present soil problem areas easily prevented avoiding contact nonhuman primates rodents soil areas.
0,choroid plexus carcinoma,a choroid plexus carcinoma type choroid plexus tumor.[1][2]
0,Pes anserine bursitis,pes anserine bursitis inflammatory condition medial (inner) knee anserine bursa sub muscular bursa pes anserinus.
